id,project_id,creator_id,description,gyr_status,plan_date,created_at,updated_at
353,203,2,Planning & Review Complete,green,2023-08-28,2023-08-31 08:30:24,2023-08-31 08:30:24
354,203,2,Questions to client Submitted,green,2023-09-11,2023-08-31 08:30:24,2023-08-31 08:30:24
355,203,2,Creation and Review Complete,green,2023-09-27,2023-08-31 08:30:24,2023-08-31 08:30:24
356,203,2,RFP Submitted Successfully,green,2023-09-29,2023-08-31 08:30:24,2023-08-31 08:30:24
357,203,2,Project Closed,green,2023-10-04,2023-08-31 08:30:24,2023-08-31 08:30:24
362,132,2,Product Order Complete,complete,2023-08-14,2023-10-17 12:45:24,2023-10-17 12:45:24
363,132,2,Pieces Received,complete,2023-08-31,2023-10-17 12:45:55,2023-10-17 12:45:55
364,132,2,Prep for Install Complete,green,2024-03-05,2023-10-17 12:46:18,2024-01-29 08:47:14
365,132,2,Installation of Tracks Complete,green,2024-03-28,2023-10-17 12:47:03,2024-01-29 08:48:26
366,132,2,Collateral for Show is Installed,yellow,2024-01-18,2023-10-17 12:47:27,2024-01-29 08:50:05
367,212,2,Bid/No Bid Completed,complete,2023-11-16,2023-11-16 12:46:43,2023-11-16 12:47:45
368,212,2,Planning & Review Complete,green,2023-11-20,2023-11-16 12:46:43,2023-11-16 12:46:43
369,212,2,Questions to client Submitted,green,2023-11-20,2023-11-16 12:46:43,2023-11-16 12:46:43
370,212,2,Creation and Review Complete,green,2023-11-27,2023-11-16 12:46:43,2023-11-16 12:46:43
371,212,2,RFP Submitted Successfully,green,2023-11-30,2023-11-16 12:46:43,2023-11-16 12:46:43
372,212,2,Project Closed,green,2023-12-05,2023-11-16 12:46:43,2023-11-16 12:46:43
373,213,2,Set up Who/What/When meeting to confirm work ownership (Sales to Lead),green,2023-11-03,2023-11-22 10:58:09,2023-11-22 10:58:09
374,213,2,Planning & Review Complete,green,2023-11-22,2023-11-22 10:58:09,2023-11-22 10:58:09
375,213,2,Questions to client Submitted,green,2023-12-14,2023-11-22 10:58:09,2023-11-22 10:58:09
376,213,2,Testing Complete,green,2023-02-22,2023-11-22 10:58:09,2023-11-22 10:58:09
377,213,2,close project,green,2023-03-14,2023-11-22 10:58:09,2023-11-22 10:58:09
378,214,2,Bid/No Bid Completed,green,2023-11-14,2023-11-28 06:12:52,2023-11-28 06:12:52
379,214,2,Planning & Review Complete,green,2023-11-16,2023-11-28 06:12:52,2023-11-28 06:12:52
380,214,2,Questions to client Submitted,green,2023-11-20,2023-11-28 06:12:52,2023-11-28 06:12:52
381,214,2,Creation and Review Complete,green,2023-12-15,2023-11-28 06:12:52,2023-11-28 06:12:52
382,214,2,RFP Submitted Successfully,green,2023-12-20,2023-11-28 06:12:52,2023-11-28 06:12:52
383,214,2,Project Closed,green,2023-12-25,2023-11-28 06:12:52,2023-11-28 06:12:52
407,219,2,mile,green,2024-05-22,2024-01-30 14:42:44,2024-01-30 14:42:44
408,220,2,buy the materials,green,2024-05-01,2024-01-30 14:45:05,2024-01-30 14:45:05
409,220,2,Materials obtained,green,2024-05-04,2024-01-30 14:45:05,2024-01-30 14:45:05
410,220,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:45:05,2024-01-30 14:45:05
411,220,2,build floor frame,green,2024-05-07,2024-01-30 14:45:05,2024-01-30 14:45:05
417,222,2,buy the materials,green,2024-05-01,2024-01-30 14:48:42,2024-01-30 14:48:42
418,222,2,Materials obtained,green,2024-05-04,2024-01-30 14:48:42,2024-01-30 14:48:42
419,222,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:48:42,2024-01-30 14:48:42
420,222,2,build floor frame,green,2024-05-07,2024-01-30 14:48:42,2024-01-30 14:48:42
421,222,2,foundation complete,green,2024-05-08,2024-01-30 14:48:42,2024-01-30 14:48:42
422,223,2,buy the materials,green,2024-05-01,2024-01-30 14:50:22,2024-01-30 14:50:22
423,223,2,Materials obtained,green,2024-05-04,2024-01-30 14:50:22,2024-01-30 14:50:22
424,223,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:50:22,2024-01-30 14:50:22
425,223,2,build floor frame,green,2024-05-07,2024-01-30 14:50:22,2024-01-30 14:50:22
426,223,2,foundation complete,green,2024-05-08,2024-01-30 14:50:22,2024-01-30 14:50:22
427,223,2,build walls to plan,green,2024-05-09,2024-01-30 14:50:22,2024-01-30 14:50:22
428,223,2,Wall Installation Complete,green,2024-05-15,2024-01-30 14:50:22,2024-01-30 14:50:22
429,224,2,buy the materials,green,2024-05-01,2024-01-30 14:52:00,2024-01-30 14:52:00
430,224,2,Materials obtained,green,2024-05-04,2024-01-30 14:52:00,2024-01-30 14:52:00
431,224,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:52:00,2024-01-30 14:52:00
432,224,2,build floor frame,green,2024-05-07,2024-01-30 14:52:00,2024-01-30 14:52:00
433,224,2,foundation complete,green,2024-05-08,2024-01-30 14:52:00,2024-01-30 14:52:00
434,224,2,build walls to plan,green,2024-05-09,2024-01-30 14:52:00,2024-01-30 14:52:00
435,224,2,Wall Installation Complete,green,2024-05-15,2024-01-30 14:52:00,2024-01-30 14:52:00
436,224,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 14:52:00,2024-01-30 14:52:00
437,225,2,buy the materials,green,2024-05-01,2024-01-30 14:53:26,2024-01-30 14:53:26
438,225,2,Materials obtained,green,2024-05-04,2024-01-30 14:53:26,2024-01-30 14:53:26
439,225,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:53:26,2024-01-30 14:53:26
440,225,2,build floor frame,green,2024-05-07,2024-01-30 14:53:26,2024-01-30 14:53:26
441,225,2,foundation complete,green,2024-05-08,2024-01-30 14:53:26,2024-01-30 14:53:26
442,225,2,build walls to plan,green,2024-05-09,2024-01-30 14:53:26,2024-01-30 14:53:26
443,225,2,Wall Installation Complete,green,2024-05-15,2024-01-30 14:53:26,2024-01-30 14:53:26
444,225,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 14:53:26,2024-01-30 14:53:26
445,226,2,buy the materials,green,2024-05-01,2024-01-30 14:55:09,2024-01-30 14:55:09
446,226,2,Materials obtained,green,2024-05-04,2024-01-30 14:55:09,2024-01-30 14:55:09
447,226,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:55:09,2024-01-30 14:55:09
448,226,2,build floor frame,green,2024-05-07,2024-01-30 14:55:09,2024-01-30 14:55:09
449,226,2,foundation complete,green,2024-05-08,2024-01-30 14:55:09,2024-01-30 14:55:09
450,226,2,build walls to plan,green,2024-05-09,2024-01-30 14:55:09,2024-01-30 14:55:09
451,226,2,Wall Installation Complete,green,2024-05-15,2024-01-30 14:55:09,2024-01-30 14:55:09
452,226,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 14:55:09,2024-01-30 14:55:09
453,227,2,buy the materials,green,2024-05-01,2024-01-30 14:56:58,2024-01-30 14:56:58
454,227,2,Materials obtained,green,2024-05-04,2024-01-30 14:56:58,2024-01-30 14:56:58
455,227,2,level the ground with gravel,green,2024-05-03,2024-01-30 14:56:58,2024-01-30 14:56:58
456,227,2,build floor frame,green,2024-05-07,2024-01-30 14:56:58,2024-01-30 14:56:58
457,227,2,foundation complete,green,2024-05-08,2024-01-30 14:56:58,2024-01-30 14:56:58
458,227,2,build walls to plan,green,2024-05-09,2024-01-30 14:56:58,2024-01-30 14:56:58
459,227,2,Wall Installation Complete,green,2024-05-15,2024-01-30 14:56:58,2024-01-30 14:56:58
460,227,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 14:56:58,2024-01-30 14:56:58
461,228,2,buy the materials,green,2024-05-01,2024-01-30 15:01:25,2024-01-30 15:01:25
462,228,2,Materials obtained,green,2024-05-04,2024-01-30 15:01:25,2024-01-30 15:01:25
463,228,2,level the ground with gravel,green,2024-05-03,2024-01-30 15:01:25,2024-01-30 15:01:25
464,228,2,build floor frame,green,2024-05-07,2024-01-30 15:01:25,2024-01-30 15:01:25
465,228,2,foundation complete,green,2024-05-08,2024-01-30 15:01:25,2024-01-30 15:01:25
466,228,2,build walls to plan,green,2024-05-09,2024-01-30 15:01:25,2024-01-30 15:01:25
467,228,2,Wall Installation Complete,green,2024-05-15,2024-01-30 15:01:25,2024-01-30 15:01:25
468,228,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 15:01:25,2024-01-30 15:01:25
469,229,2,Materials obtained,green,2024-05-04,2024-01-30 15:14:44,2024-01-30 15:14:44
470,229,2,Foundation complete,green,2024-05-08,2024-01-30 15:14:44,2024-01-30 15:14:44
471,229,2,Wall Installation Complete,green,2024-05-15,2024-01-30 15:14:44,2024-01-30 15:14:44
472,229,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 15:14:45,2024-01-30 15:14:45
473,230,2,Materials obtained,green,2024-05-04,2024-01-30 15:19:34,2024-01-30 15:19:34
474,230,2,Foundation complete,green,2024-05-08,2024-01-30 15:19:34,2024-01-30 15:19:34
475,230,2,Wall Installation Complete,green,2024-05-15,2024-01-30 15:19:34,2024-01-30 15:19:34
476,230,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 15:19:34,2024-01-30 15:19:34
477,231,2,Materials obtained,green,2024-05-04,2024-01-30 15:24:28,2024-01-30 15:24:28
478,231,2,Foundation complete,green,2024-05-08,2024-01-30 15:24:28,2024-01-30 15:24:28
479,231,2,Wall Installation Complete,green,2024-05-15,2024-01-30 15:24:28,2024-01-30 15:24:28
480,231,2,Roof Complete and Shed Complete,green,2024-05-27,2024-01-30 15:24:28,2024-01-30 15:24:28
